id,file_path,function_signature,body,parameters,examples
556,..\pandas\reference\api\pandas.tseries.offsets.CustomBusinessHour.is_month_end.html,pandas.tseries.offsets.CustomBusinessHour.is_month_end,CustomBusinessHour.is_month_end(ts)# Return boolean whether a timestamp occurs on the month end.,No parameters found,"['>>> ts = pd.Timestamp(2022, 1, 1)\n>>> freq = pd.offsets.Hour(5)\n>>> freq.is_month_end(ts)\nFalse']"
557,..\pandas\reference\api\pandas.DataFrame.__add__.html,pandas.DataFrame.__add__,"DataFrame.__add__(other)[source]# Get Addition of DataFrame and other, column-wise. Equivalent to DataFrame.add(other).","Parameters: otherscalar, sequence, Series, dict or DataFrameObject to be added to the DataFrame. Returns: DataFrameThe result of adding other to DataFrame.","["">>> df = pd.DataFrame({'height': [1.5, 2.6], 'weight': [500, 800]},\n...                   index=['elk', 'moose'])\n>>> df\n       height  weight\nelk       1.5     500\nmoose     2.6     800"", "">>> df[['height', 'weight']] + 1.5\n       height  weight\nelk       3.0   501.5\nmoose     4.1   801.5"", "">>> df[['height', 'weight']] + [0.5, 1.5]\n       height  weight\nelk       2.0   501.5\nmoose     3.1   801.5"", "">>> df[['height', 'weight']] + {'height': 0.5, 'weight': 1.5}\n       height  weight\nelk       2.0   501.5\nmoose     3.1   801.5"", "">>> s1 = pd.Series([0.5, 1.5], index=['weight', 'height'])\n>>> df[['height', 'weight']] + s1\n       height  weight\nelk       3.0   500.5\nmoose     4.1   800.5"", "">>> s2 = pd.Series([0.5, 1.5], index=['elk', 'moose'])\n>>> df[['height', 'weight']] + s2\n       elk  height  moose  weight\nelk    NaN     NaN    NaN     NaN\nmoose  NaN     NaN    NaN     NaN"", "">>> df[['height', 'weight']].add(s2, axis='index')\n       height  weight\nelk       2.0   500.5\nmoose     4.1   801.5"", "">>> other = pd.DataFrame({'height': [0.2, 0.4, 0.6]},\n...                      index=['elk', 'moose', 'deer'])\n>>> df[['height', 'weight']] + other\n       height  weight\ndeer      NaN     NaN\nelk       1.7     NaN\nmoose     3.0     NaN""]"
558,..\pandas\reference\api\pandas.Series.dt.tz.html,pandas.Series.dt.tz,Series.dt.tz[source]# Return the timezone.,"Returns: datetime.tzinfo, pytz.tzinfo.BaseTZInfo, dateutil.tz.tz.tzfile, or NoneReturns None when the array is tz-naive.","['>>> s = pd.Series([""1/1/2020 10:00:00+00:00"", ""2/1/2020 11:00:00+00:00""])\n>>> s = pd.to_datetime(s)\n>>> s\n0   2020-01-01 10:00:00+00:00\n1   2020-02-01 11:00:00+00:00\ndtype: datetime64[ns, UTC]\n>>> s.dt.tz\ndatetime.timezone.utc', '>>> idx = pd.DatetimeIndex([""1/1/2020 10:00:00+00:00"",\n...                         ""2/1/2020 11:00:00+00:00""])\n>>> idx.tz\ndatetime.timezone.utc']"
559,..\pandas\reference\api\pandas.api.types.is_period_dtype.html,pandas.api.types.is_period_dtype,"pandas.api.types.is_period_dtype(arr_or_dtype)[source]# Check whether an array-like or dtype is of the Period dtype. Deprecated since version 2.2.0: Use isinstance(dtype, pd.Period) instead.",Parameters: arr_or_dtypearray-like or dtypeThe array-like or dtype to check. Returns: booleanWhether or not the array-like or dtype is of the Period dtype.,"['>>> from pandas.core.dtypes.common import is_period_dtype\n>>> is_period_dtype(object)\nFalse\n>>> is_period_dtype(pd.PeriodDtype(freq=""D""))\nTrue\n>>> is_period_dtype([1, 2, 3])\nFalse\n>>> is_period_dtype(pd.Period(""2017-01-01""))\nFalse\n>>> is_period_dtype(pd.PeriodIndex([], freq=""Y""))\nTrue']"
560,..\pandas\reference\api\pandas.TimedeltaIndex.floor.html,pandas.TimedeltaIndex.floor,"TimedeltaIndex.floor(*args, **kwargs)[source]# Perform floor operation on the data to the specified freq. Notes If the timestamps have a timezone, flooring will take place relative to the local (“wall”) time and re-localized to the same timezone. When flooring near daylight savings time, use nonexistent and ambiguous to control the re-localization behavior.","Parameters: freqstr or OffsetThe frequency level to floor the index to. Must be a fixed frequency like ‘S’ (second) not ‘ME’ (month end). See frequency aliases for a list of possible freq values. ambiguous‘infer’, bool-ndarray, ‘NaT’, default ‘raise’Only relevant for DatetimeIndex: ‘infer’ will attempt to infer fall dst-transition hours based on order bool-ndarray where True signifies a DST time, False designates a non-DST time (note that this flag is only applicable for ambiguous times) ‘NaT’ will return NaT where there are ambiguous times ‘raise’ will raise an AmbiguousTimeError if there are ambiguous times. nonexistent‘shift_forward’, ‘shift_backward’, ‘NaT’, timedelta, default ‘raise’A nonexistent time does not exist in a particular timezone where clocks moved forward due to DST. ‘shift_forward’ will shift the nonexistent time forward to the closest existing time ‘shift_backward’ will shift the nonexistent time backward to the closest existing time ‘NaT’ will return NaT where there are nonexistent times timedelta objects will shift nonexistent times by the timedelta ‘raise’ will raise an NonExistentTimeError if there are nonexistent times. Returns: DatetimeIndex, TimedeltaIndex, or SeriesIndex of the same type for a DatetimeIndex or TimedeltaIndex, or a Series with the same index for a Series. Raises: ValueError if the freq cannot be converted.","["">>> rng = pd.date_range('1/1/2018 11:59:00', periods=3, freq='min')\n>>> rng\nDatetimeIndex(['2018-01-01 11:59:00', '2018-01-01 12:00:00',\n               '2018-01-01 12:01:00'],\n              dtype='datetime64[ns]', freq='min')\n>>> rng.floor('h')\nDatetimeIndex(['2018-01-01 11:00:00', '2018-01-01 12:00:00',\n               '2018-01-01 12:00:00'],\n              dtype='datetime64[ns]', freq=None)"", '>>> pd.Series(rng).dt.floor(""h"")\n0   2018-01-01 11:00:00\n1   2018-01-01 12:00:00\n2   2018-01-01 12:00:00\ndtype: datetime64[ns]', '>>> rng_tz = pd.DatetimeIndex([""2021-10-31 03:30:00""], tz=""Europe/Amsterdam"")', '>>> rng_tz.floor(""2h"", ambiguous=False)\nDatetimeIndex([\'2021-10-31 02:00:00+01:00\'],\n             dtype=\'datetime64[ns, Europe/Amsterdam]\', freq=None)', '>>> rng_tz.floor(""2h"", ambiguous=True)\nDatetimeIndex([\'2021-10-31 02:00:00+02:00\'],\n              dtype=\'datetime64[ns, Europe/Amsterdam]\', freq=None)']"
561,..\pandas\reference\api\pandas.io.formats.style.Styler.set_sticky.html,pandas.io.formats.style.Styler.set_sticky,"Styler.set_sticky(axis=0, pixel_size=None, levels=None)[source]# Add CSS to permanently display the index or column headers in a scrolling frame. Notes This method uses the CSS ‘position: sticky;’ property to display. It is designed to work with visible axes, therefore both: styler.set_sticky(axis=”index”).hide(axis=”index”) styler.set_sticky(axis=”columns”).hide(axis=”columns”) may produce strange behaviour due to CSS controls with missing elements.","Parameters: axis{0 or ‘index’, 1 or ‘columns’}, default 0Whether to make the index or column headers sticky. pixel_sizeint, optionalRequired to configure the width of index cells or the height of column header cells when sticking a MultiIndex (or with a named Index). Defaults to 75 and 25 respectively. levelsint, str, list, optionalIf axis is a MultiIndex the specific levels to stick. If None will stick all levels. Returns: Styler","['>>> df = pd.DataFrame({\'A\': [1, 2], \'B\': [3, 4]})\n>>> df.style.set_sticky(axis=""index"")']"
562,..\pandas\reference\api\pandas.core.window.expanding.Expanding.min.html,pandas.core.window.expanding.Expanding.min,"Expanding.min(numeric_only=False, engine=None, engine_kwargs=None)[source]# Calculate the expanding minimum. Notes See Numba engine and Numba (JIT compilation) for extended documentation and performance considerations for the Numba engine.","Parameters: numeric_onlybool, default FalseInclude only float, int, boolean columns. Added in version 1.5.0. enginestr, default None 'cython' : Runs the operation through C-extensions from cython. 'numba' : Runs the operation through JIT compiled code from numba. None : Defaults to 'cython' or globally setting compute.use_numba Added in version 1.3.0. engine_kwargsdict, default None For 'cython' engine, there are no accepted engine_kwargs For 'numba' engine, the engine can accept nopython, nogil and parallel dictionary keys. The values must either be True or False. The default engine_kwargs for the 'numba' engine is {'nopython': True, 'nogil': False, 'parallel': False} Added in version 1.3.0. Returns: Series or DataFrameReturn type is the same as the original object with np.float64 dtype.","["">>> ser = pd.Series([2, 3, 4, 1], index=['a', 'b', 'c', 'd'])\n>>> ser.expanding().min()\na    2.0\nb    2.0\nc    2.0\nd    1.0\ndtype: float64""]"
563,..\pandas\reference\api\pandas.Series.dt.tz_convert.html,pandas.Series.dt.tz_convert,"Series.dt.tz_convert(*args, **kwargs)[source]# Convert tz-aware Datetime Array/Index from one time zone to another.","Parameters: tzstr, pytz.timezone, dateutil.tz.tzfile, datetime.tzinfo or NoneTime zone for time. Corresponding timestamps would be converted to this time zone of the Datetime Array/Index. A tz of None will convert to UTC and remove the timezone information. Returns: Array or Index Raises: TypeErrorIf Datetime Array/Index is tz-naive.","["">>> dti = pd.date_range(start='2014-08-01 09:00',\n...                     freq='h', periods=3, tz='Europe/Berlin')"", "">>> dti\nDatetimeIndex(['2014-08-01 09:00:00+02:00',\n               '2014-08-01 10:00:00+02:00',\n               '2014-08-01 11:00:00+02:00'],\n              dtype='datetime64[ns, Europe/Berlin]', freq='h')"", "">>> dti.tz_convert('US/Central')\nDatetimeIndex(['2014-08-01 02:00:00-05:00',\n               '2014-08-01 03:00:00-05:00',\n               '2014-08-01 04:00:00-05:00'],\n              dtype='datetime64[ns, US/Central]', freq='h')"", "">>> dti = pd.date_range(start='2014-08-01 09:00', freq='h',\n...                     periods=3, tz='Europe/Berlin')"", "">>> dti\nDatetimeIndex(['2014-08-01 09:00:00+02:00',\n               '2014-08-01 10:00:00+02:00',\n               '2014-08-01 11:00:00+02:00'],\n                dtype='datetime64[ns, Europe/Berlin]', freq='h')"", "">>> dti.tz_convert(None)\nDatetimeIndex(['2014-08-01 07:00:00',\n               '2014-08-01 08:00:00',\n               '2014-08-01 09:00:00'],\n                dtype='datetime64[ns]', freq='h')""]"
564,..\pandas\reference\api\pandas.DataFrame.__dataframe__.html,pandas.DataFrame.__dataframe__,"DataFrame.__dataframe__(nan_as_null=False, allow_copy=True)[source]# Return the dataframe interchange object implementing the interchange protocol. Notes Details on the interchange protocol: https://data-apis.org/dataframe-protocol/latest/index.html","Parameters: nan_as_nullbool, default Falsenan_as_null is DEPRECATED and has no effect. Please avoid using it; it will be removed in a future release. allow_copybool, default TrueWhether to allow memory copying when exporting. If set to False it would cause non-zero-copy exports to fail. Returns: DataFrame interchange objectThe object which consuming library can use to ingress the dataframe.","["">>> df_not_necessarily_pandas = pd.DataFrame({'A': [1, 2], 'B': [3, 4]})\n>>> interchange_object = df_not_necessarily_pandas.__dataframe__()\n>>> interchange_object.column_names()\nIndex(['A', 'B'], dtype='object')\n>>> df_pandas = (pd.api.interchange.from_dataframe\n...              (interchange_object.select_columns_by_name(['A'])))\n>>> df_pandas\n     A\n0    1\n1    2""]"
565,..\pandas\reference\api\pandas.api.types.is_re.html,pandas.api.types.is_re,pandas.api.types.is_re(obj)[source]# Check if the object is a regex pattern instance.,Parameters: objThe object to check Returns: boolWhether obj is a regex pattern.,"['>>> from pandas.api.types import is_re\n>>> import re\n>>> is_re(re.compile("".*""))\nTrue\n>>> is_re(""foo"")\nFalse']"
566,..\pandas\reference\api\pandas.TimedeltaIndex.html,pandas.TimedeltaIndex,"class pandas.TimedeltaIndex(data=None, unit=<no_default>, freq=<no_default>, closed=<no_default>, dtype=None, copy=False, name=None)[source]# Immutable Index of timedelta64 data. Represented internally as int64, and scalars returned Timedelta objects. Attributes days Number of days for each element. seconds Number of seconds (>= 0 and less than 1 day) for each element. microseconds Number of microseconds (>= 0 and less than 1 second) for each element. nanoseconds Number of nanoseconds (>= 0 and less than 1 microsecond) for each element. components Return a DataFrame of the individual resolution components of the Timedeltas. inferred_freq Tries to return a string representing a frequency generated by infer_freq. Methods to_pytimedelta(*args, **kwargs) Return an ndarray of datetime.timedelta objects. to_series([index, name]) Create a Series with both index and values equal to the index keys. round(*args, **kwargs) Perform round operation on the data to the specified freq. floor(*args, **kwargs) Perform floor operation on the data to the specified freq. ceil(*args, **kwargs) Perform ceil operation on the data to the specified freq. to_frame([index, name]) Create a DataFrame with a column containing the Index. mean(*[, skipna, axis]) Return the mean value of the Array. Notes To learn more about the frequency strings, please see this link.","Parameters: dataarray-like (1-dimensional), optionalOptional timedelta-like data to construct index with. unit{‘D’, ‘h’, ‘m’, ‘s’, ‘ms’, ‘us’, ‘ns’}, optionalThe unit of data. Deprecated since version 2.2.0: Use pd.to_timedelta instead. freqstr or pandas offset object, optionalOne of pandas date offset strings or corresponding objects. The string 'infer' can be passed in order to set the frequency of the index as the inferred frequency upon creation. dtypenumpy.dtype or str, default NoneValid numpy dtypes are timedelta64[ns], timedelta64[us], timedelta64[ms], and timedelta64[s]. copyboolMake a copy of input array. nameobjectName to be stored in the index.","["">>> pd.TimedeltaIndex(['0 days', '1 days', '2 days', '3 days', '4 days'])\nTimedeltaIndex(['0 days', '1 days', '2 days', '3 days', '4 days'],\n               dtype='timedelta64[ns]', freq=None)"", "">>> pd.TimedeltaIndex(np.arange(5) * 24 * 3600 * 1e9, freq='infer')\nTimedeltaIndex(['0 days', '1 days', '2 days', '3 days', '4 days'],\n               dtype='timedelta64[ns]', freq='D')""]"
567,..\pandas\reference\api\pandas.io.formats.style.Styler.set_table_attributes.html,pandas.io.formats.style.Styler.set_table_attributes,Styler.set_table_attributes(attributes)[source]# Set the table attributes added to the <table> HTML element. These are items in addition to automatic (by default) id attribute.,Parameters: attributesstr Returns: Styler,"['>>> df = pd.DataFrame(np.random.randn(10, 4))\n>>> df.style.set_table_attributes(\'class=""pure-table""\')  \n# ... <table class=""pure-table""> ...']"
568,..\pandas\reference\api\pandas.tseries.offsets.MonthEnd.is_year_end.html,pandas.tseries.offsets.MonthEnd.is_year_end,MonthEnd.is_year_end(ts)# Return boolean whether a timestamp occurs on the year end.,No parameters found,"['>>> ts = pd.Timestamp(2022, 1, 1)\n>>> freq = pd.offsets.Hour(5)\n>>> freq.is_year_end(ts)\nFalse']"
569,..\pandas\reference\api\pandas.tseries.offsets.CustomBusinessHour.is_month_start.html,pandas.tseries.offsets.CustomBusinessHour.is_month_start,CustomBusinessHour.is_month_start(ts)# Return boolean whether a timestamp occurs on the month start.,No parameters found,"['>>> ts = pd.Timestamp(2022, 1, 1)\n>>> freq = pd.offsets.Hour(5)\n>>> freq.is_month_start(ts)\nTrue']"
570,..\pandas\reference\api\pandas.core.window.expanding.Expanding.quantile.html,pandas.core.window.expanding.Expanding.quantile,"Expanding.quantile(q, interpolation='linear', numeric_only=False)[source]# Calculate the expanding quantile.","Parameters: quantilefloatQuantile to compute. 0 <= quantile <= 1. Deprecated since version 2.1.0: This will be renamed to ‘q’ in a future version. interpolation{‘linear’, ‘lower’, ‘higher’, ‘midpoint’, ‘nearest’}This optional parameter specifies the interpolation method to use, when the desired quantile lies between two data points i and j: linear: i + (j - i) * fraction, where fraction is the fractional part of the index surrounded by i and j. lower: i. higher: j. nearest: i or j whichever is nearest. midpoint: (i + j) / 2. numeric_onlybool, default FalseInclude only float, int, boolean columns. Added in version 1.5.0. Returns: Series or DataFrameReturn type is the same as the original object with np.float64 dtype.","["">>> ser = pd.Series([1, 2, 3, 4, 5, 6], index=['a', 'b', 'c', 'd', 'e', 'f'])\n>>> ser.expanding(min_periods=4).quantile(.25)\na     NaN\nb     NaN\nc     NaN\nd    1.75\ne    2.00\nf    2.25\ndtype: float64""]"
571,..\pandas\reference\api\pandas.Series.dt.tz_localize.html,pandas.Series.dt.tz_localize,"Series.dt.tz_localize(*args, **kwargs)[source]# Localize tz-naive Datetime Array/Index to tz-aware Datetime Array/Index. This method takes a time zone (tz) naive Datetime Array/Index object and makes this time zone aware. It does not move the time to another time zone. This method can also be used to do the inverse – to create a time zone unaware object from an aware object. To that end, pass tz=None.","Parameters: tzstr, pytz.timezone, dateutil.tz.tzfile, datetime.tzinfo or NoneTime zone to convert timestamps to. Passing None will remove the time zone information preserving local time. ambiguous‘infer’, ‘NaT’, bool array, default ‘raise’When clocks moved backward due to DST, ambiguous times may arise. For example in Central European Time (UTC+01), when going from 03:00 DST to 02:00 non-DST, 02:30:00 local time occurs both at 00:30:00 UTC and at 01:30:00 UTC. In such a situation, the ambiguous parameter dictates how ambiguous times should be handled. ‘infer’ will attempt to infer fall dst-transition hours based on order bool-ndarray where True signifies a DST time, False signifies a non-DST time (note that this flag is only applicable for ambiguous times) ‘NaT’ will return NaT where there are ambiguous times ‘raise’ will raise an AmbiguousTimeError if there are ambiguous times. nonexistent‘shift_forward’, ‘shift_backward, ‘NaT’, timedelta, default ‘raise’A nonexistent time does not exist in a particular timezone where clocks moved forward due to DST. ‘shift_forward’ will shift the nonexistent time forward to the closest existing time ‘shift_backward’ will shift the nonexistent time backward to the closest existing time ‘NaT’ will return NaT where there are nonexistent times timedelta objects will shift nonexistent times by the timedelta ‘raise’ will raise an NonExistentTimeError if there are nonexistent times. Returns: Same type as selfArray/Index converted to the specified time zone. Raises: TypeErrorIf the Datetime Array/Index is tz-aware and tz is not None.","["">>> tz_naive = pd.date_range('2018-03-01 09:00', periods=3)\n>>> tz_naive\nDatetimeIndex(['2018-03-01 09:00:00', '2018-03-02 09:00:00',\n               '2018-03-03 09:00:00'],\n              dtype='datetime64[ns]', freq='D')"", "">>> tz_aware = tz_naive.tz_localize(tz='US/Eastern')\n>>> tz_aware\nDatetimeIndex(['2018-03-01 09:00:00-05:00',\n               '2018-03-02 09:00:00-05:00',\n               '2018-03-03 09:00:00-05:00'],\n              dtype='datetime64[ns, US/Eastern]', freq=None)"", "">>> tz_aware.tz_localize(None)\nDatetimeIndex(['2018-03-01 09:00:00', '2018-03-02 09:00:00',\n               '2018-03-03 09:00:00'],\n              dtype='datetime64[ns]', freq=None)"", "">>> s = pd.to_datetime(pd.Series(['2018-10-28 01:30:00',\n...                               '2018-10-28 02:00:00',\n...                               '2018-10-28 02:30:00',\n...                               '2018-10-28 02:00:00',\n...                               '2018-10-28 02:30:00',\n...                               '2018-10-28 03:00:00',\n...                               '2018-10-28 03:30:00']))\n>>> s.dt.tz_localize('CET', ambiguous='infer')\n0   2018-10-28 01:30:00+02:00\n1   2018-10-28 02:00:00+02:00\n2   2018-10-28 02:30:00+02:00\n3   2018-10-28 02:00:00+01:00\n4   2018-10-28 02:30:00+01:00\n5   2018-10-28 03:00:00+01:00\n6   2018-10-28 03:30:00+01:00\ndtype: datetime64[ns, CET]"", "">>> s = pd.to_datetime(pd.Series(['2018-10-28 01:20:00',\n...                               '2018-10-28 02:36:00',\n...                               '2018-10-28 03:46:00']))\n>>> s.dt.tz_localize('CET', ambiguous=np.array([True, True, False]))\n0   2018-10-28 01:20:00+02:00\n1   2018-10-28 02:36:00+02:00\n2   2018-10-28 03:46:00+01:00\ndtype: datetime64[ns, CET]"", "">>> s = pd.to_datetime(pd.Series(['2015-03-29 02:30:00',\n...                               '2015-03-29 03:30:00']))\n>>> s.dt.tz_localize('Europe/Warsaw', nonexistent='shift_forward')\n0   2015-03-29 03:00:00+02:00\n1   2015-03-29 03:30:00+02:00\ndtype: datetime64[ns, Europe/Warsaw]"", "">>> s.dt.tz_localize('Europe/Warsaw', nonexistent='shift_backward')\n0   2015-03-29 01:59:59.999999999+01:00\n1   2015-03-29 03:30:00+02:00\ndtype: datetime64[ns, Europe/Warsaw]"", "">>> s.dt.tz_localize('Europe/Warsaw', nonexistent=pd.Timedelta('1h'))\n0   2015-03-29 03:30:00+02:00\n1   2015-03-29 03:30:00+02:00\ndtype: datetime64[ns, Europe/Warsaw]""]"
572,..\pandas\reference\api\pandas.DataFrame.__iter__.html,pandas.DataFrame.__iter__,DataFrame.__iter__()[source]# Iterate over info axis.,Returns: iteratorInfo axis as iterator.,"["">>> df = pd.DataFrame({'A': [1, 2, 3], 'B': [4, 5, 6]})\n>>> for x in df:\n...     print(x)\nA\nB""]"
573,..\pandas\reference\api\pandas.TimedeltaIndex.inferred_freq.html,pandas.TimedeltaIndex.inferred_freq,TimedeltaIndex.inferred_freq[source]# Tries to return a string representing a frequency generated by infer_freq. Returns None if it can’t autodetect the frequency.,No parameters found,"['>>> idx = pd.DatetimeIndex([""2018-01-01"", ""2018-01-03"", ""2018-01-05""])\n>>> idx.inferred_freq\n\'2D\'', '>>> tdelta_idx = pd.to_timedelta([""0 days"", ""10 days"", ""20 days""])\n>>> tdelta_idx\nTimedeltaIndex([\'0 days\', \'10 days\', \'20 days\'],\n               dtype=\'timedelta64[ns]\', freq=None)\n>>> tdelta_idx.inferred_freq\n\'10D\'']"
574,..\pandas\reference\api\pandas.api.types.is_re_compilable.html,pandas.api.types.is_re_compilable,pandas.api.types.is_re_compilable(obj)[source]# Check if the object can be compiled into a regex pattern instance.,Parameters: objThe object to check Returns: boolWhether obj can be compiled as a regex pattern.,"['>>> from pandas.api.types import is_re_compilable\n>>> is_re_compilable("".*"")\nTrue\n>>> is_re_compilable(1)\nFalse']"
575,..\pandas\reference\api\pandas.io.formats.style.Styler.set_table_styles.html,pandas.io.formats.style.Styler.set_table_styles,"Styler.set_table_styles(table_styles=None, axis=0, overwrite=True, css_class_names=None)[source]# Set the table styles included within the <style> HTML element. This function can be used to style the entire table, columns, rows or specific HTML selectors. Notes The default CSS classes dict, whose values can be replaced is as follows: css_class_names = {""row_heading"": ""row_heading"",                    ""col_heading"": ""col_heading"",                    ""index_name"": ""index_name"",                    ""col"": ""col"",                    ""row"": ""row"",                    ""col_trim"": ""col_trim"",                    ""row_trim"": ""row_trim"",                    ""level"": ""level"",                    ""data"": ""data"",                    ""blank"": ""blank"",                    ""foot"": ""foot""}","Parameters: table_styleslist or dictIf supplying a list, each individual table_style should be a dictionary with selector and props keys. selector should be a CSS selector that the style will be applied to (automatically prefixed by the table’s UUID) and props should be a list of tuples with (attribute, value). If supplying a dict, the dict keys should correspond to column names or index values, depending upon the specified axis argument. These will be mapped to row or col CSS selectors. MultiIndex values as dict keys should be in their respective tuple form. The dict values should be a list as specified in the form with CSS selectors and props that will be applied to the specified row or column. axis{0 or ‘index’, 1 or ‘columns’, None}, default 0Apply to each column (axis=0 or 'index'), to each row (axis=1 or 'columns'). Only used if table_styles is dict. overwritebool, default TrueStyles are replaced if True, or extended if False. CSS rules are preserved so most recent styles set will dominate if selectors intersect. css_class_namesdict, optionalA dict of strings used to replace the default CSS classes described below. Added in version 1.4.0. Returns: Styler","["">>> df = pd.DataFrame(np.random.randn(10, 4),\n...                   columns=['A', 'B', 'C', 'D'])\n>>> df.style.set_table_styles(\n...     [{'selector': 'tr:hover',\n...       'props': [('background-color', 'yellow')]}]\n... )"", "">>> df.style.set_table_styles(\n...     [{'selector': 'tr:hover',\n...       'props': 'background-color: yellow; font-size: 1em;'}]\n... )"", "">>> df.style.set_table_styles({\n...     'A': [{'selector': '',\n...            'props': [('color', 'red')]}],\n...     'B': [{'selector': 'td',\n...            'props': 'color: blue;'}]\n... }, overwrite=False)"", "">>> df.style.set_table_styles({\n...     0: [{'selector': 'td:hover',\n...          'props': [('font-size', '25px')]}]\n... }, axis=1, overwrite=False)""]"
576,..\pandas\reference\api\pandas.core.window.expanding.Expanding.rank.html,pandas.core.window.expanding.Expanding.rank,"Expanding.rank(method='average', ascending=True, pct=False, numeric_only=False)[source]# Calculate the expanding rank. Added in version 1.4.0.","Parameters: method{‘average’, ‘min’, ‘max’}, default ‘average’How to rank the group of records that have the same value (i.e. ties): average: average rank of the group min: lowest rank in the group max: highest rank in the group ascendingbool, default TrueWhether or not the elements should be ranked in ascending order. pctbool, default FalseWhether or not to display the returned rankings in percentile form. numeric_onlybool, default FalseInclude only float, int, boolean columns. Added in version 1.5.0. Returns: Series or DataFrameReturn type is the same as the original object with np.float64 dtype.","['>>> s = pd.Series([1, 4, 2, 3, 5, 3])\n>>> s.expanding().rank()\n0    1.0\n1    2.0\n2    2.0\n3    3.0\n4    5.0\n5    3.5\ndtype: float64', '>>> s.expanding().rank(method=""max"")\n0    1.0\n1    2.0\n2    2.0\n3    3.0\n4    5.0\n5    4.0\ndtype: float64', '>>> s.expanding().rank(method=""min"")\n0    1.0\n1    2.0\n2    2.0\n3    3.0\n4    5.0\n5    3.0\ndtype: float64']"
577,..\pandas\reference\api\pandas.Series.dt.unit.html,pandas.Series.dt.unit,Series.dt.unit[source]#,No parameters found,[]
578,..\pandas\reference\api\pandas.tseries.offsets.MonthEnd.is_year_start.html,pandas.tseries.offsets.MonthEnd.is_year_start,MonthEnd.is_year_start(ts)# Return boolean whether a timestamp occurs on the year start.,No parameters found,"['>>> ts = pd.Timestamp(2022, 1, 1)\n>>> freq = pd.offsets.Hour(5)\n>>> freq.is_year_start(ts)\nTrue']"
579,..\pandas\reference\api\pandas.tseries.offsets.CustomBusinessHour.is_on_offset.html,pandas.tseries.offsets.CustomBusinessHour.is_on_offset,CustomBusinessHour.is_on_offset(dt)# Return boolean whether a timestamp intersects with this frequency.,Parameters: dtdatetime.datetimeTimestamp to check intersections with frequency.,"['>>> ts = pd.Timestamp(2022, 1, 1)\n>>> freq = pd.offsets.Day(1)\n>>> freq.is_on_offset(ts)\nTrue', "">>> ts = pd.Timestamp(2022, 8, 6)\n>>> ts.day_name()\n'Saturday'\n>>> freq = pd.offsets.BusinessDay(1)\n>>> freq.is_on_offset(ts)\nFalse""]"
580,..\pandas\reference\api\pandas.DatetimeIndex.as_unit.html,pandas.DatetimeIndex.as_unit,"DatetimeIndex.as_unit(*args, **kwargs)[source]# Convert to a dtype with the given unit resolution.","Parameters: unit{‘s’, ‘ms’, ‘us’, ‘ns’} Returns: same type as self","["">>> idx = pd.DatetimeIndex(['2020-01-02 01:02:03.004005006'])\n>>> idx\nDatetimeIndex(['2020-01-02 01:02:03.004005006'],\n              dtype='datetime64[ns]', freq=None)\n>>> idx.as_unit('s')\nDatetimeIndex(['2020-01-02 01:02:03'], dtype='datetime64[s]', freq=None)"", "">>> tdelta_idx = pd.to_timedelta(['1 day 3 min 2 us 42 ns'])\n>>> tdelta_idx\nTimedeltaIndex(['1 days 00:03:00.000002042'],\n                dtype='timedelta64[ns]', freq=None)\n>>> tdelta_idx.as_unit('s')\nTimedeltaIndex(['1 days 00:03:00'], dtype='timedelta64[s]', freq=None)""]"
581,..\pandas\reference\api\pandas.TimedeltaIndex.mean.html,pandas.TimedeltaIndex.mean,"TimedeltaIndex.mean(*, skipna=True, axis=0)[source]# Return the mean value of the Array. Notes mean is only defined for Datetime and Timedelta dtypes, not for Period.","Parameters: skipnabool, default TrueWhether to ignore any NaT elements. axisint, optional, default 0 Returns: scalarTimestamp or Timedelta.","["">>> idx = pd.date_range('2001-01-01 00:00', periods=3)\n>>> idx\nDatetimeIndex(['2001-01-01', '2001-01-02', '2001-01-03'],\n              dtype='datetime64[ns]', freq='D')\n>>> idx.mean()\nTimestamp('2001-01-02 00:00:00')"", "">>> tdelta_idx = pd.to_timedelta([1, 2, 3], unit='D')\n>>> tdelta_idx\nTimedeltaIndex(['1 days', '2 days', '3 days'],\n                dtype='timedelta64[ns]', freq=None)\n>>> tdelta_idx.mean()\nTimedelta('2 days 00:00:00')""]"
